date      , day_of_week, product           , category, views, likes, comments_count, sample_comment                 , estimated_price_ksh, demand_score, simulated_sales_units
2025-03-29, Saturday   , Baby Bodysuit     , clothing, 17795,  1379,            220, Do you deliver outside Nairobi?,                 900,        10.22,                    30
2025-03-30, Sunday     , Baby Stroller     , travel  ,  8265,   312,             18, Do you have other colors?      ,               32000,         4.21,                     5
2025-03-31, Monday     , Baby Carrier      , travel  , 46131,  1713,            252, This is so cute!               ,                2800,         4.81,                    25
2025-04-01, Tuesday    , Baby Bodysuit     , clothing,  2769,   183,             34, How much is this?              ,                 900,         9.06,                    11
2025-04-02, Wednesday  , Baby Feeding Chair, feeding ,  7311,   582,             83, Where are you located?         ,               16000,        10.23,                    11
2025-04-03, Thursday   , Baby Romper       , clothing, 30693,   931,             49, Do you deliver outside Nairobi?,                1200,         3.35,                    31
2025-04-04, Friday     , Baby Bodysuit     , clothing, 27658,  1382,             78, Do you have other colors?      ,                 900,         5.56,                    25
2025-04-05, Saturday   , Baby Carrier      , travel  ,  2189,    75,             10, Do you deliver outside Nairobi?,                2800,         4.34,                    16
2025-04-06, Sunday     , Feeding Bottle    , feeding ,  3267,   194,             11, Do you have other colors?      ,                 800,         6.61,                    16
2025-04-07, Monday     , Feeding Bottle    , feeding , 32740,  1719,             89, Where are you located?         ,                 800,         5.79,                    34
2025-04-08, Tuesday    , Baby Carrier      , travel  , 45323,  2636,            284, Can I order today?             ,                2800,         7.07,                    30
2025-04-09, Wednesday  , Baby Feeding Chair, feeding ,  4612,   191,             16, I need this for my baby        ,               16000,         4.84,                    13
2025-04-10, Thursday   , Baby Romper       , clothing, 19159,   607,            113, This is so cute!               ,                1200,         4.35,                     8
2025-04-11, Friday     , Baby Towel        , care    ,  3585,   226,             21, Is it available?               ,                 700,         7.48,                    15
2025-04-12, Saturday   , Baby Stroller     , travel  , 45573,  2612,            203, This is so cute!               ,               32000,         6.62,                     7
2025-04-13, Sunday     , Baby Carrier      , travel  ,  8873,   465,             50, Is it available?               ,                2800,         6.37,                     8
2025-04-14, Monday     , Baby Bodysuit     , clothing, 34606,  2633,            166, How much is this?              ,                 900,         8.57,                    32
2025-04-15, Tuesday    , Baby Towel        , care    , 27851,   898,             88, How much is this?              ,                 700,         3.86,                    25
2025-04-16, Wednesday  , Baby Car Seat     , travel  , 26300,  1145,            199, Is it available?               ,               25000,         5.87,                     2
2025-04-17, Thursday   , Baby Feeding Chair, feeding , 23243,  1402,            128, I need this for my baby        ,               16000,         7.13,                    14
2025-04-18, Friday     , Baby Romper       , clothing, 42774,  2188,            239, Can I order today?             ,                1200,         6.23,                    12
