date      , day_of_week, product           , views, likes, comments_count, estimated_price_ksh, demand_score, year, month, day, week_of_year, is_weekend, engagement_rate     , comment_rate         , category_ clothing, category_ feeding, category_ travel, lag_1_views, lag_7_views, rolling_mean_7
2025-03-29, Saturday   , Baby Bodysuit     , 17795,  1379,            220,                 900,        10.22, 2025,     3,  29,           13,          1, 0.07748932344347044 , 0.012362328613171499 , True              , False            , False           ,         0.0,         0.0,     0.0
2025-04-01, Tuesday    , Baby Bodysuit     ,  2769,   183,             34,                 900,         9.06, 2025,     4,   1,           14,          0, 0.06606498194945848 , 0.01227436823104693  , True              , False            , False           ,     17795.0,         0.0,     0.0
2025-04-04, Friday     , Baby Bodysuit     , 27658,  1382,             78,                 900,         5.56, 2025,     4,   4,           14,          0, 0.049965653132795836, 0.0028200585704472323, True              , False            , False           ,      2769.0,         0.0,     0.0
2025-04-14, Monday     , Baby Bodysuit     , 34606,  2633,            166,                 900,         8.57, 2025,     4,  14,           16,          0, 0.07608287340711417 , 0.004796717427110122 , True              , False            , False           ,     27658.0,         0.0,     0.0
2025-04-24, Thursday   , Baby Bodysuit     ,  7056,   346,             67,                 900,         6.8 , 2025,     4,  24,           17,          0, 0.04902933257758254 , 0.009494119314156156 , True              , False            , False           ,     34606.0,         0.0,     0.0
2025-04-26, Saturday   , Baby Bodysuit     ,  2206,   113,              6,                 900,         5.67, 2025,     4,  26,           17,          1, 0.05120072496601722 , 0.002718622564567286 , True              , False            , False           ,      7056.0,         0.0,     0.0
2025-04-27, Sunday     , Baby Bodysuit     , 43523,  2531,            390,                 900,         7.61, 2025,     4,  27,           17,          1, 0.05815182428085654 , 0.008960573476702509 , True              , False            , False           ,      2206.0,         0.0, 19373.285714285714
2025-05-02, Friday     , Baby Bodysuit     , 27939,  2085,            272,                 900,         9.41, 2025,     5,   2,           18,          0, 0.07462419470293485 , 0.00973514674302076  , True              , False            , False           ,     43523.0,     17795.0, 20822.428571428572
2025-05-21, Wednesday  , Baby Bodysuit     , 49025,  3737,            678,                 900,        10.39, 2025,     5,  21,           21,          0, 0.07622486027821972 , 0.013829396646677273 , True              , False            , False           ,     27939.0,      2769.0, 27430.428571428572
2025-05-22, Thursday   , Baby Bodysuit     , 18646,  1174,            202,                 900,         8.46, 2025,     5,  22,           21,          0, 0.06295918914570708 , 0.010832841743980266 , True              , False            , False           ,     49025.0,     27658.0, 26143.0
