date,day_of_week,product,views,likes,comments_count,estimated_price_ksh,demand_score,year,month,day,week_of_year,is_weekend,engagement_rate,comment_rate,category_ clothing,category_ feeding ,category_ travel  ,engagement,engagement_growth
2025-03-29, Saturday   , Baby Bodysuit     ,17795,1379,220,900,10.22,2025,3,29,13,1,0.07748932344347044,0.012362328613171499,True,False,False,19394,0.0
2025-04-01, Tuesday    , Baby Bodysuit     ,2769,183,34,900,9.06,2025,4,1,14,0,0.06606498194945848,0.01227436823104693,True,False,False,2986,-16408.0
2025-04-04, Friday     , Baby Bodysuit     ,27658,1382,78,900,5.56,2025,4,4,14,0,0.049965653132795836,0.0028200585704472323,True,False,False,29118,26132.0
2025-04-14, Monday     , Baby Bodysuit     ,34606,2633,166,900,8.57,2025,4,14,16,0,0.07608287340711417,0.004796717427110122,True,False,False,37405,8287.0
2025-04-24, Thursday   , Baby Bodysuit     ,7056,346,67,900,6.8,2025,4,24,17,0,0.04902933257758254,0.009494119314156156,True,False,False,7469,-29936.0
2025-04-26, Saturday   , Baby Bodysuit     ,2206,113,6,900,5.67,2025,4,26,17,1,0.05120072496601722,0.002718622564567286,True,False,False,2325,-5144.0
2025-04-27, Sunday     , Baby Bodysuit     ,43523,2531,390,900,7.61,2025,4,27,17,1,0.05815182428085654,0.008960573476702509,True,False,False,46444,44119.0
2025-05-02, Friday     , Baby Bodysuit     ,27939,2085,272,900,9.41,2025,5,2,18,0,0.07462419470293485,0.00973514674302076,True,False,False,30296,-16148.0
2025-05-21, Wednesday  , Baby Bodysuit     ,49025,3737,678,900,10.39,2025,5,21,21,0,0.07622486027821972,0.013829396646677273,True,False,False,53440,23144.0
2025-05-22, Thursday   , Baby Bodysuit     ,18646,1174,202,900,8.46,2025,5,22,21,0,0.06295918914570708,0.010832841743980266,True,False,False,20022,-33418.0
2025-05-29, Thursday   , Baby Bodysuit     ,48975,2217,272,900,5.64,2025,5,29,22,0,0.04526706958510291,0.00555374060764456,True,False,False,51464,31442.0
2025-06-10, Tuesday    , Baby Bodysuit     ,2699,196,18,900,8.6,2025,6,10,24,0,0.0725925925925926,0.006666666666666667,True,False,False,2913,-48551.0
2025-06-14, Saturday   , Baby Bodysuit     ,20070,742,94,900,4.63,2025,6,14,24,1,0.036968760898809225,0.004683374022221115,True,False,False,20906,17993.0
2025-06-15, Sunday     , Baby Bodysuit     ,47017,3151,486,900,8.77,2025,6,15,24,1,0.06701688714960229,0.010336466885022757,True,False,False,50654,29748.0
2025-06-23, Monday     , Baby Bodysuit     ,31749,1805,178,900,6.81,2025,6,23,26,0,0.0568503937007874,0.005606299212598425,True,False,False,33732,-16922.0
2025-06-30, Monday     , Baby Bodysuit     ,3150,204,22,900,7.87,2025,6,30,27,0,0.06474135195176134,0.006981910504601714,True,False,False,3376,-30356.0
2025-07-08, Tuesday    , Baby Bodysuit     ,28646,928,178,900,4.48,2025,7,8,28,0,0.03239431703145181,0.006213565120256921,True,False,False,29752,26376.0
2025-07-12, Saturday   , Baby Bodysuit     ,31168,2286,332,900,9.46,2025,7,12,28,1,0.07334210273027687,0.01065160897045141,True,False,False,33786,4034.0
2025-07-14, Monday     , Baby Bodysuit     ,6000,423,73,900,9.48,2025,7,14,29,0,0.070488251958007,0.012164639226795533,True,False,False,6496,-27290.0
2025-07-20, Sunday     , Baby Bodysuit     ,5267,340,34,900,7.75,2025,7,20,29,1,0.06454062262718299,0.006454062262718299,True,False,False,5641,-855.0
2025-07-23, Wednesday  , Baby Bodysuit     ,19506,987,104,900,6.13,2025,7,23,30,0,0.0505972215102271,0.005331419490439329,True,False,False,20597,14956.0
2025-08-11, Monday     , Baby Bodysuit     ,28790,1474,274,900,7.02,2025,8,11,33,0,0.05119655447883019,0.00951686290854781,True,False,False,30538,9941.0
2025-08-20, Wednesday  , Baby Bodysuit     ,46472,2609,376,900,7.23,2025,8,20,34,0,0.05614012437329202,0.008090719342413875,True,False,False,49457,18919.0
2025-08-22, Friday     , Baby Bodysuit     ,26504,2008,389,900,10.51,2025,8,22,34,0,0.07575929069986795,0.014676476136578005,True,False,False,28901,-20556.0
2025-08-25, Monday     , Baby Bodysuit     ,35307,1196,234,900,4.71,2025,8,25,35,0,0.033873343151693665,0.0066273932253313695,True,False,False,36737,7836.0
2025-08-31, Sunday     , Baby Bodysuit     ,36961,2933,212,900,9.08,2025,8,31,35,1,0.07935176667929225,0.005735620366863265,True,False,False,40106,3369.0
2025-09-02, Tuesday    , Baby Bodysuit     ,23168,1666,200,900,8.92,2025,9,2,36,0,0.0719064266908369,0.008632224092537442,True,False,False,25034,-15072.0
2025-09-08, Monday     , Baby Bodysuit     ,23949,1770,289,900,9.8,2025,9,8,37,0,0.07390396659707725,0.012066805845511482,True,False,False,26008,974.0
2025-09-15, Monday     , Baby Bodysuit     ,8941,516,32,900,6.49,2025,9,15,38,0,0.05770521136211138,0.0035786177588906284,True,False,False,9489,-16519.0
2025-10-24, Friday     , Baby Bodysuit     ,28386,1134,181,900,5.27,2025,10,24,43,0,0.03994786345862543,0.006376158100538979,True,False,False,29701,20212.0
2025-10-26, Sunday     , Baby Bodysuit     ,3917,147,17,900,4.62,2025,10,26,43,1,0.03751914241960184,0.004338948443083206,True,False,False,4081,-25620.0
2025-11-12, Wednesday  , Baby Bodysuit     ,29202,1792,179,900,7.36,2025,11,12,46,0,0.061363558538506315,0.006129507242406602,True,False,False,31173,27092.0
2025-11-23, Sunday     , Baby Bodysuit     ,12541,761,142,900,8.33,2025,11,23,47,1,0.06067612820921703,0.011321958220379525,True,False,False,13444,-17729.0
2025-11-27, Thursday   , Baby Bodysuit     ,22530,1505,286,900,9.22,2025,11,27,48,0,0.06679685766277572,0.012693622120633793,True,False,False,24321,10877.0
2025-12-14, Sunday     , Baby Bodysuit     ,25570,851,141,900,4.43,2025,12,14,50,1,0.033279887372414066,0.005514058894841813,True,False,False,26562,2241.0
2026-01-02, Friday     , Baby Bodysuit     ,22607,884,108,900,4.87,2026,1,2,1,0,0.03910120311394197,0.004777070063694267,True,False,False,23599,-2963.0
2026-01-14, Wednesday  , Baby Bodysuit     ,13555,929,55,900,7.67,2026,1,14,3,0,0.06853053998229566,0.004057244024786072,True,False,False,14539,-9060.0
2026-01-25, Sunday     , Baby Bodysuit     ,38408,2008,156,900,6.04,2026,1,25,4,1,0.05227941367908563,0.004061548074669999,True,False,False,40572,26033.0
2026-01-28, Wednesday  , Baby Bodysuit     ,17896,1345,197,900,9.72,2026,1,28,5,0,0.0751522601553333,0.011007431413085992,True,False,False,19438,-21134.0
2026-01-29, Thursday   , Baby Bodysuit     ,27064,2089,116,900,8.58,2026,1,29,5,0,0.07718455569924257,0.004285978200628118,True,False,False,29269,9831.0
2026-02-14, Saturday   , Baby Bodysuit     ,12616,863,97,900,8.38,2026,2,14,7,1,0.06839977807719744,0.007688039946104462,True,False,False,13576,-15693.0
2026-02-25, Wednesday  , Baby Bodysuit     ,29376,2287,397,900,10.49,2026,2,25,9,0,0.07785001872212956,0.013513973516696736,True,False,False,32060,18484.0
2026-03-02, Monday     , Baby Bodysuit     ,39443,2327,148,900,6.65,2026,3,2,10,0,0.05899503092992597,0.003752154953858635,True,False,False,41918,9858.0
2026-03-11, Wednesday  , Baby Bodysuit     ,8183,476,42,900,6.84,2026,3,11,11,0,0.05816226783968719,0.005131964809384164,True,False,False,8701,-33217.0
2026-03-17, Tuesday    , Baby Bodysuit     ,42329,3005,253,900,8.29,2026,3,17,12,0,0.07098984171982047,0.005976848570753602,True,False,False,45587,36886.0
2026-03-25, Wednesday  , Baby Bodysuit     ,9059,583,35,900,7.21,2026,3,25,13,0,0.06434878587196469,0.003863134657836645,True,False,False,9677,-35910.0
2025-04-16, Wednesday  , Baby Car Seat     ,26300,1145,199,25000,5.87,2025,4,16,16,0,0.04353446637009999,0.007566252233755371,False,False,True,27644,0.0
